"","male","black","white","edu","birthmonth","h_sentscore1972","birthyear","birthstate","hours","age","inc_labor","int_id","hhchildren","married","fam_inc","workexp","hhdens","inc_wcomp","inc_unemp","inc_trans_pub","inc_ssi","inc_othwelf","inc_fdstmp","inc_ch","inc_afdc","m_edu","f_edu","f_inc_labor","m_inc_labor","m_prison","f_prison","prison","region","state","study","works","head","wife"
"63527",0,1,0,12,5,7,1956,23,1768,26,14629.8095703125,5938,1,1,29617.76953125,6,0.800000011920929,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,0,0,0,0,0,3,23,0,1,NA,1
"63530",0,0,1,11,NA,10,NA,NA,NA,60,0,3907,3,NA,93860,NA,1.20000004768372,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,42,0,0,NA,0
"63548",1,0,1,13,NA,9,NA,NA,927,29,NA,277,0,NA,67060.5,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,31,0,1,0,0
"63556",0,0,1,12,3,12,1957,34,1080,25,14671.7998046875,6698,0,0,18517.58984375,NA,1,0,3845.7900390625,3845.7900390625,0,0,0,0,0,NA,12,0,NA,NA,0,0,6,NA,0,1,1,0
"63559",0,0,1,14,11,11,1955,37,2350,26,35568,2157,0,1,65949,7,0.5,NA,NA,NA,NA,NA,NA,NA,NA,12,9,118560,0,0,0,0,1,37,0,1,NA,1
"63567",0,0,1,12,6,9,1938,NA,0,43,0,1545,2,1,22724,NA,0.699999988079071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,24,0,0,NA,1
"63618",1,0,1,12,5,9,1930,NA,0,51,0,6345,2,0,73635.640625,16,1,0,0,11885.6396484375,11885.6396484375,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,20,0,0,1,0
"63620",1,0,1,12,3,11,1932,NA,2426,50,115015.546875,593,1,1,150089.546875,26,0.5,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,14,0,1,1,0
"63652",0,0,1,12,2,11,1941,NA,1759,41,17290,1038,0,0,38045.41015625,13,0.5,0,0,0,0,0,0,2371.19995117188,0,NA,NA,NA,NA,NA,NA,0,2,14,0,1,1,0
"63716",1,0,1,17,11,10,1948,NA,3191,33,49400,1136,2,1,93860,9,0.5,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,45,0,1,1,0
"63719",1,0,1,12,9,10,1951,42,3377,30,592.799987792969,4107,0,1,50980.80078125,6,0.400000005960464,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,42,0,1,1,0
"63721",0,1,0,11,2,7,1930,NA,0,51,0,4669,0,NA,2875.080078125,21,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,20,0,0,NA,1
"63754",0,0,1,16,2,10,1951,37,640,30,4446,2836,2,1,76570,6,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,45,0,0,NA,1
"63768",0,NA,NA,14,NA,10,NA,NA,2020,27,43225,2461,0,NA,94477.5,9,0.400000005960464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,4,0,1,NA,1
"63821",0,0,1,12,6,11,1925,NA,0,56,0,4242,0,1,78546,15,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,2,0,0,NA,1
"63855",1,0,1,12,11,13,1938,NA,1960,43,34580,1835,0,1,74100,18,0.400000005960464,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,45,0,1,1,0
"63922",0,0,1,14,1,10,1932,NA,0,50,0,1412,1,1,306280,2,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,37,0,0,NA,1
"63943",0,0,1,12,2,10,1935,NA,2000,47,42484,4900,0,1,81285.2265625,22,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,29,0,1,NA,1
"63956",1,0,1,17,9,12,1949,NA,2856,32,29738.80078125,1697,2,1,30232.80078125,8,0.699999988079071,0,0,0,0,0,0,0,0,16,16,74100,49400,0,0,0,3,3,0,1,1,0
"63980",1,0,1,12,8,8,1944,NA,2116,37,37050,1812,3,1,72371,10,0.699999988079071,0,0,0,0,0,0,0,0,8,NA,NA,2568.80004882812,0,NA,0,3,23,0,1,1,0
"63982",1,0,1,14,11,12,1956,16,2204,25,62985,6311,2,1,62985,2,0.600000023841858,0,0,0,0,0,0,0,0,12,10,43225,0,0,0,0,3,16,0,1,1,0
"63992",0,1,0,12,11,4,1931,NA,0,48,0,3623,0,1,84219.59375,25,0.300000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,8,0,0,NA,1
"63999",0,0,1,14,7,12,1928,NA,2500,53,34580,3454,0,1,113620,8,0.300000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,37,0,1,NA,1
"64000",0,0,1,15,5,11,1947,NA,0,34,0,2972,2,1,54060.890625,11,0.800000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,0,3,9,0,0,NA,1
"64013",0,0,1,14,3,11,1956,46,2039,26,30025.3203125,1706,0,0,30037.669921875,4,0.300000011920929,0,0,0,0,0,0,0,0,16,NA,NA,14916.330078125,0,NA,0,4,46,0,1,1,0
"64016",0,0,1,12,10,7,1953,45,600,27,5557.5,5985,2,1,62318.1015625,3,0.699999988079071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,45,0,0,NA,1
"64083",1,0,1,12,8,10,1952,6,3732,29,43225,5582,2,1,43941.30078125,5,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,42,0,1,1,0
"64096",0,0,1,14,11,11,1933,NA,765,48,6916,4590,2,1,111026.5,6,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,29,0,1,NA,1
"64097",1,0,1,16,6,10,1932,NA,2004,49,74100,5390,0,1,76076,17,0.300000011920929,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,46,0,1,1,0
