"","male","black","white","edu","birthmonth","h_sentscore1972","birthyear","hours","age","inc_labor","int_id","hhchildren","married","fam_inc","hhdens","inc_unemp","inc_trans_pub","inc_ssi","inc_othwelf","inc_fdstmp","inc_al","inc_afdc","m_edu","f_edu","f_inc_labor","m_inc_labor","m_prison","f_prison","prison","region","state","med15","occ","study","works","head","wife"
"5380",0,1,0,12,11,9,1941,595,30,25605,1688,5,NA,122272.40625,1.20000004768372,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,29,NA,NA,NA,NA,NA,1
"5382",0,0,1,15,7,9,1942,2000,29,24467,3402,0,1,80570.3984375,0.699999988079071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,37,NA,NA,NA,NA,NA,1
"5407",0,0,1,14,7,11,1913,1875,58,36985,2290,0,NA,85350,0.300000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,20,NA,NA,NA,NA,NA,1
"5478",1,0,1,7,6,10,1913,1692,58,17070,302,0,0,21622,0.5,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,4,2,84,0,1,1,0
"5487",0,0,1,9,11,10,1939,0,33,0,3931,3,1,44951,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,32,NA,NA,NA,NA,NA,1
"5586",0,0,1,12,7,10,1913,99,59,1138,113,0,1,21075.759765625,0.400000005960464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,5,NA,NA,NA,NA,NA,1
"5638",0,0,1,14,10,11,1928,450,43,23898,1569,1,1,179178.09375,0.600000023841858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,46,NA,NA,NA,NA,NA,1
"5689",1,0,1,17,4,12,1938,3120,34,77384,4679,2,1,77384,0.800000011920929,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,42,NA,91,0,1,1,0
"5695",0,0,1,17,7,12,1938,1440,34,45520,4030,2,1,119632.25,0.699999988079071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,13,NA,NA,NA,NA,NA,1
"5712",1,0,1,16,2,11,1921,1795,51,54055,5015,3,1,84325.796875,1,682.799987792969,682.799987792969,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,36,NA,55,0,1,1,0
"5715",0,0,1,14,1,10,1936,540,36,22873.80078125,370,2,0,32376.099609375,0.5,0,0,0,0,0,8535,0,NA,NA,NA,NA,NA,NA,0,2,22,NA,87,0,1,1,0
"5736",1,0,1,14,11,12,1946,1840,25,45520,4912,3,1,45520,1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,45,NA,33,0,1,1,0
"5743",1,0,1,17,2,9,1934,2500,38,153630,1913,4,1,168139.5,0.699999988079071,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,4,NA,87,0,1,1,0
"5784",0,0,1,12,9,10,1928,2105,43,27613.5703125,2890,2,0,39078.921875,0.5,0,6156.580078125,0,0,0,1422.5,1082,NA,NA,NA,NA,NA,NA,0,2,40,NA,92,0,1,1,0
"5787",1,0,1,12,5,9,1912,1590,59,52621.12109375,2637,0,1,52689.3984375,0.5,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,20,2,86,0,1,1,0
"5809",1,0,1,14,4,10,1924,2120,47,87626,2605,0,1,101429.9375,0.300000011920929,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,45,NA,92,0,1,1,0
"5810",0,0,1,11,8,9,1932,62,39,1138,1776,2,1,43813,0.800000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,32,NA,NA,NA,NA,NA,1
"5841",1,0,1,12,8,8,1941,2080,31,26208.140625,1875,3,1,26583.6796875,0.800000011920929,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,41,NA,84,0,1,1,0
"5850",0,0,1,12,10,9,1935,2000,36,48023.6015625,1262,2,1,107484.1015625,0.600000023841858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,43,NA,NA,NA,NA,NA,1
"5861",1,0,1,12,NA,11,NA,NA,26,NA,1255,0,NA,38464.3984375,0.699999988079071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,9,NA,NA,NA,NA,NA,0
"5868",1,0,1,16,3,10,1946,384,26,7397,4990,1,1,40569.69921875,0.699999988079071,0,0,0,0,0,0,0,11,5,28450,17070,0,0,0,3,32,NA,51,0,1,1,0
"5890",0,0,1,12,12,10,1946,2000,25,27488.390625,1649,0,NA,46811.62890625,0.699999988079071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,24,NA,NA,NA,NA,NA,1
"5947",0,1,0,9,5,8,1921,312,51,1775.28002929688,2497,0,1,24535.279296875,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,32,NA,NA,NA,NA,NA,1
"5963",1,0,1,16,4,10,1919,2500,52,91040,2505,1,1,183502.5,0.5,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,6,NA,62,0,1,1,0
"5973",0,1,0,11,1,7,1924,1040,48,4142.31982421875,1310,1,1,63602.8203125,0.699999988079071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,32,NA,NA,NA,NA,NA,1
"5983",1,0,1,12,12,8,1945,2080,26,42675,1718,1,1,42675,0.699999988079071,0,0,0,0,0,0,0,12,4,26179.689453125,0,0,0,0,3,42,NA,81,0,1,1,0
"6011",1,0,1,12,2,10,1945,2212,27,68849,2175,1,1,70214.6015625,0.600000023841858,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,37,NA,61,0,1,1,0
"6049",0,0,1,12,7,10,1922,520,46,2276,74,2,0,39534.12109375,0.600000023841858,0,0,0,0,0,22760,0,NA,NA,NA,NA,NA,NA,0,2,24,NA,NA,0,0,1,0
