"","male","black","white","edu","birthmonth","h_sentscore1972","birthyear","hours","age","inc_labor","int_id","hhchildren","married","fam_inc","workexp","health","hhdens","inc_unemp","inc_trans_pub","inc_ssi","inc_othwelf","inc_fdstmp","inc_al","inc_afdc","m_edu","f_edu","f_inc_labor","m_inc_labor","m_prison","f_prison","prison","region","state","occ","study","works","head","wife"
"19383",1,0,1,12,NA,8,NA,1040,33,NA,3932,0,NA,21159.16015625,NA,NA,0.300000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,12,NA,NA,NA,NA,0
"19407",1,0,1,12,3,9,1925,0,51,0,4113,1,1,58938,35,NA,0.400000005960464,0,25080,25080,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,37,NA,0,0,1,0
"19413",1,0,1,17,10,13,1928,2499,47,133760,3422,0,1,333355,25,1,0.300000011920929,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,14,61,0,1,1,0
"19414",0,1,0,12,12,5,1943,1440,30,NA,65,3,1,57500.078125,NA,NA,1.5,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,0,0,NA,0,3,8,NA,NA,NA,NA,0
"19430",0,NA,NA,13,NA,6,NA,1960,53,28424,3498,0,NA,55460.23828125,NA,NA,0.300000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,3,NA,NA,NA,NA,1
"19448",0,0,1,NA,NA,11,NA,2858,29,NA,4075,1,NA,38489.44140625,NA,NA,0.699999988079071,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,0,0,NA,0,3,16,NA,NA,NA,NA,0
"19459",0,0,1,12,12,10,1929,0,46,0,2554,0,NA,75240,NA,NA,0.300000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,32,NA,0,0,NA,1
"19462",0,0,1,10,3,11,1928,1750,48,24662,62,0,1,117876,9,NA,0.300000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,20,NA,0,1,NA,1
"19475",1,0,1,16,12,11,1947,2380,28,41298.3984375,1819,2,1,41716.3984375,10,1,0.800000011920929,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,24,71,0,1,1,0
"19531",1,0,1,16,12,10,1946,2415,29,82764,1730,2,0,82764,11,1,0.600000023841858,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,9,57,0,1,1,0
"19532",0,0,1,12,1,8,1947,1840,29,29991.5,5115,1,NA,51100.5,11,NA,0.400000005960464,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,0,0,NA,0,3,39,NA,0,1,NA,1
"19538",1,0,1,12,NA,11,NA,2250,34,23512.5,4509,0,1,62700,17,NA,0.300000011920929,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,34,51,0,1,1,0
"19556",0,0,1,7,8,8,1929,630,46,5434,2412,1,1,103914.796875,3,NA,0.699999988079071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,29,NA,0,0,NA,1
"19558",1,1,0,12,3,7,1938,1920,38,28089.599609375,5572,1,1,48003.12109375,18,NA,0.5,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,23,92,0,1,1,0
"19562",1,0,1,12,8,10,1928,1885,47,54340,4467,2,1,79420,19,2,0.699999988079071,0,5016,5016,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,12,31,0,1,1,0
"19565",0,0,1,12,10,10,1945,1840,31,22990,3183,0,1,81510,12,NA,0.300000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,13,NA,0,1,NA,1
"19623",1,0,1,17,4,12,1932,2400,44,73150,3131,0,1,140322.59375,16,NA,0.400000005960464,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,42,31,0,1,1,0
"19670",0,1,0,9,6,7,1912,2600,55,10032,3192,0,1,24060.080078125,37,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,1,NA,0,1,NA,1
"19680",0,0,1,12,12,6,1944,0,32,0,3708,1,1,50544.55859375,3,NA,0.699999988079071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,16,NA,0,0,NA,1
"19704",1,0,1,17,11,11,1943,2436,32,74261.8828125,3553,0,1,75097.8828125,11,1,0.5,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,46,21,0,1,1,0
"19714",0,0,1,17,6,12,1946,1000,30,27170,4007,1,1,76912,11,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,6,NA,0,0,NA,1
"19743",1,0,1,17,10,9,1932,3162,43,83600,782,2,1,144419,21,4,0.699999988079071,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,24,87,0,1,1,0
