"","male","black","white","edu","birthmonth","h_sentscore1972","birthyear","birthstate","hours","age","inc_labor","int_id","hhchildren","married","fam_inc","hhdens","inc_unemp","inc_trans_pub","inc_ssi","inc_othwelf","inc_fdstmp","inc_al","inc_afdc","m_edu","f_edu","f_inc_labor","m_inc_labor","m_prison","f_prison","prison","region","state","med15","occ","study","works","head","wife"
"6011",1,0,1,12,2,10,1945,NA,1980,26,108780,3600,1,1,111132,0.699999988079071,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,37,NA,81,0,1,1,0
"6049",0,0,1,12,7,10,1922,NA,500,45,4410,1362,2,0,28077,0.800000011920929,0,0,0,0,0,8820,0,NA,NA,NA,NA,NA,NA,0,2,24,NA,NA,0,0,1,0
"6117",1,0,1,10,8,10,1941,NA,4264,30,40619.0390625,3631,3,1,55860,0.800000011920929,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,14,NA,55,0,1,1,0
"6191",1,1,0,11,8,10,1916,NA,2000,54,27518.400390625,1875,1,1,27518.400390625,1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,42,NA,57,0,1,1,0
"6217",0,0,1,11,7,10,1939,NA,0,30,0,265,3,1,51156,1.20000004768372,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,3,NA,NA,NA,NA,NA,1
"6220",0,0,1,12,4,10,1942,NA,40,28,1176,412,1,NA,62228.0390625,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,29,NA,NA,NA,NA,NA,1
"6228",0,0,1,10,1,9,1942,NA,1623,29,25284,1713,2,1,67961.0390625,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,18,NA,NA,NA,NA,NA,1
"6264",0,0,1,12,10,11,1924,NA,2000,47,47040,3087,0,1,132300,0.600000023841858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,21,NA,NA,NA,NA,NA,1
"6286",1,0,1,17,5,12,1915,NA,1501,55,103488,185,0,1,171696,0.300000011920929,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,34,NA,87,0,1,1,0
"6300",0,0,1,17,1,10,1939,NA,1200,32,23520,2872,1,0,27671.279296875,0.699999988079071,2681.28002929688,2681.28002929688,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,37,NA,86,0,1,1,0
